run_id,dataset,variant,seed,status,provenance,source_path,runtime_sec,attempts
final_ablation__metr_la__spatial_only_forecast_only__seed49,metr_la,spatial_only_forecast_only,49,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_49,581.5082016000006,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed49,metr_la,fixed_fusion_forecast_only,49,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_49,748.3809614999991,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed49,metr_la,gated_fusion_forecast_only,49,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_49,1295.7653226999992,1.0
reused__metr_la__sraf_id_forecast_only__seed50,metr_la,sraf_id_forecast_only,50,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_50,,
reused__metr_la__id_mlp_ca__seed50,metr_la,id_mlp_ca,50,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed50,,
final_ablation__metr_la__temporal_only_forecast_only__seed50,metr_la,temporal_only_forecast_only,50,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_50,747.1518698,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed50,metr_la,spatial_only_forecast_only,50,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_50,625.5462411000008,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed50,metr_la,fixed_fusion_forecast_only,50,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_50,722.6519903999997,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed50,metr_la,gated_fusion_forecast_only,50,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_50,1321.0477955000006,1.0
reused__metr_la__sraf_id_forecast_only__seed51,metr_la,sraf_id_forecast_only,51,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_51,,
reused__metr_la__id_mlp_ca__seed51,metr_la,id_mlp_ca,51,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed51,,
final_ablation__metr_la__temporal_only_forecast_only__seed51,metr_la,temporal_only_forecast_only,51,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_51,727.8120033,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed51,metr_la,spatial_only_forecast_only,51,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_51,702.1552972999998,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed51,metr_la,fixed_fusion_forecast_only,51,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_51,696.9121498999993,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed51,metr_la,gated_fusion_forecast_only,51,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_51,1497.0361202999993,1.0
reused__pems_bay__sraf_id_forecast_only__seed42,pems_bay,sraf_id_forecast_only,42,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_42,,
reused__pems_bay__id_mlp_ca__seed42,pems_bay,id_mlp_ca,42,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed42,,
final_ablation__pems_bay__temporal_only_forecast_only__seed42,pems_bay,temporal_only_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_42,2350.2696304,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed42,pems_bay,spatial_only_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_42,1545.6236012999998,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed42,pems_bay,fixed_fusion_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_42,2563.3408391999983,1.0
final_ablation__pems_bay__gated_fusion_forecast_only__seed42,pems_bay,gated_fusion_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_42,1745.3888799999986,1.0
reused__pems_bay__sraf_id_forecast_only__seed43,pems_bay,sraf_id_forecast_only,43,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_43,,
