dataset,model,fault,h3_mae_mean,h6_mae_mean,h12_mae_mean,seeds
METR-LA,PyPOTS-SAITS+ID-MLP,continuous_outage_24,3.786273789405823,4.828056955337525,6.173297882080078,10
METR-LA,PyPOTS-SAITS+ID-MLP,gaussian_noise_high,14.479984378814697,13.592586994171143,12.613522720336913,10
METR-LA,PyPOTS-SAITS+ID-MLP,linear_drift_high,14.479984378814697,13.592586994171143,12.613522720336913,10
METR-LA,PyPOTS-SAITS+ID-MLP,random_missing_20,3.9028452157974245,4.939382648468017,6.275907897949219,10
METR-LA,PyPOTS-SAITS+ID-MLP,random_missing_40,4.194185018539429,5.179917192459106,6.47114930152893,10
METR-LA,PyPOTS-SAITS+ID-MLP,stuck_at_last_value_high,3.839388203620911,4.890731906890869,6.242898273468017,10
METR-LA,SRAF-ID-v1-formal,clean,3.6621817111968995,4.697574663162231,6.066242313385009,10
METR-LA,SRAF-ID-v1-formal,continuous_outage_24,4.2737949848175045,5.22667441368103,6.47950758934021,10
METR-LA,SRAF-ID-v1-formal,gaussian_noise_high,3.9130407094955446,4.87083249092102,6.174282693862915,10
METR-LA,SRAF-ID-v1-formal,linear_drift_high,4.064087772369385,5.008481407165528,6.233776569366455,10
METR-LA,SRAF-ID-v1-formal,random_missing_20,3.781055283546448,4.794093227386474,6.107988929748535,10
METR-LA,SRAF-ID-v1-formal,random_missing_40,4.0682196617126465,5.033687019348145,6.26960506439209,10
METR-LA,SRAF-ID-v1-formal,stuck_at_last_value_high,3.878271698951721,4.856941032409668,6.177238273620605,10
METR-LA,SRAF-ID-v2-current-best,clean,3.650948929786682,4.692030000686645,6.008772611618042,10
METR-LA,SRAF-ID-v2-current-best,continuous_outage_24,4.512058162689209,5.402595376968383,6.540691232681274,10
METR-LA,SRAF-ID-v2-current-best,gaussian_noise_high,3.885876178741455,4.852055835723877,6.1062743186950685,10
METR-LA,SRAF-ID-v2-current-best,linear_drift_high,3.986378312110901,4.9622527122497555,6.171987009048462,10
METR-LA,SRAF-ID-v2-current-best,random_missing_20,3.7540650367736816,4.773634672164917,6.054733419418335,10
METR-LA,SRAF-ID-v2-current-best,random_missing_40,3.9301578044891357,4.909193706512451,6.14714937210083,10
METR-LA,SRAF-ID-v2-current-best,stuck_at_last_value_high,3.8658199071884156,4.847962999343872,6.118876838684082,10
METR-LA,SRAF-ID-v2-current-best-noGate,clean,3.645501708984375,4.683208465576172,6.001842594146728,10
METR-LA,SRAF-ID-v2-current-best-noGate,continuous_outage_24,4.514667081832886,5.399036979675293,6.537292528152466,10
METR-LA,SRAF-ID-v2-current-best-noGate,gaussian_noise_high,3.8770708322525023,4.838354015350342,6.096296548843384,10
METR-LA,SRAF-ID-v2-current-best-noGate,linear_drift_high,3.961196494102478,4.931093311309814,6.141292667388916,10
METR-LA,SRAF-ID-v2-current-best-noGate,random_missing_20,3.7466467380523683,4.761941051483154,6.045859146118164,10
METR-LA,SRAF-ID-v2-current-best-noGate,random_missing_40,3.922269654273987,4.897018814086914,6.1372496604919435,10
METR-LA,SRAF-ID-v2-current-best-noGate,stuck_at_last_value_high,3.862954020500183,4.8419599533081055,6.113574552536011,10
PEMS-BAY,ID-MLP-CA,clean,1.4798935413360597,1.8521153688430787,2.3218684673309324,10
PEMS-BAY,ID-MLP-CA,continuous_outage_24,1.718327486515045,2.023374819755554,2.4224792242050173,10
PEMS-BAY,ID-MLP-CA,gaussian_noise_high,1.8901663780212403,2.1460566759109496,2.5140520095825196,10
PEMS-BAY,ID-MLP-CA,linear_drift_high,1.7587009787559509,2.043902325630188,2.4241536140441893,10
PEMS-BAY,ID-MLP-CA,random_missing_20,1.5655238389968873,1.9195863127708435,2.379730772972107,10
PEMS-BAY,ID-MLP-CA,random_missing_40,1.7162133574485778,2.034515047073364,2.4700319528579713,10
PEMS-BAY,ID-MLP-CA,stuck_at_last_value_high,1.5708442449569702,1.9157247066497802,2.364668774604797,10
PEMS-BAY,KNN+ID-MLP,clean,1.3903671622276306,1.7800556898117066,2.2255125761032106,10
PEMS-BAY,KNN+ID-MLP,continuous_outage_24,1.625172758102417,1.9638619065284728,2.349927806854248,10
PEMS-BAY,KNN+ID-MLP,gaussian_noise_high,2.9952335357666016,2.9584741592407227,2.971928524971008,10
PEMS-BAY,KNN+ID-MLP,linear_drift_high,4.340450096130371,4.1316009044647215,3.7934274911880492,10
PEMS-BAY,KNN+ID-MLP,random_missing_20,1.8910093307495117,2.1540616273880007,2.465730333328247,10
PEMS-BAY,KNN+ID-MLP,random_missing_40,2.4786258220672606,2.6063178300857546,2.763372540473938,10
PEMS-BAY,KNN+ID-MLP,stuck_at_last_value_high,1.5667020082473755,1.9220919013023376,2.325335216522217,10
PEMS-BAY,PPCA-lite+ID-MLP,clean,1.3895025253295898,1.7821337580680847,2.2354782819747925,10
PEMS-BAY,PPCA-lite+ID-MLP,continuous_outage_24,1.4750667214393616,1.8336175560951233,2.259355092048645,10
PEMS-BAY,PPCA-lite+ID-MLP,gaussian_noise_high,5.147780036926269,4.827272558212281,4.3143082618713375,10
PEMS-BAY,PPCA-lite+ID-MLP,linear_drift_high,4.678086519241333,4.435024738311768,3.997968554496765,10
PEMS-BAY,PPCA-lite+ID-MLP,random_missing_20,1.6059642434120178,1.9128753304481507,2.28908224105835,10
PEMS-BAY,PPCA-lite+ID-MLP,random_missing_40,1.8113306522369386,2.039356231689453,2.345354771614075,10
PEMS-BAY,PPCA-lite+ID-MLP,stuck_at_last_value_high,1.492090606689453,1.8551860809326173,2.2808357954025267,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,clean,1.3900724411010743,1.7790678143501282,2.228536009788513,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,continuous_outage_24,1.4862510204315185,1.84808908700943,2.2738953113555906,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,gaussian_noise_high,5.824860334396362,5.503604507446289,4.9230287075042725,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,linear_drift_high,5.824860334396362,5.503604507446289,4.9230287075042725,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,random_missing_20,1.582719349861145,1.9165796995162965,2.3159303665161133,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,random_missing_40,1.7614940643310546,2.0444069385528563,2.398063611984253,10
PEMS-BAY,PyPOTS-SAITS+ID-MLP,stuck_at_last_value_high,1.4999370217323302,1.8707218170166016,2.29875853061676,10
PEMS-BAY,SRAF-ID-v1-formal,clean,1.479737102985382,1.8443811655044555,2.3027148485183715,10
PEMS-BAY,SRAF-ID-v1-formal,continuous_outage_24,1.7042648196220398,2.00659499168396,2.3975017786026003,10
PEMS-BAY,SRAF-ID-v1-formal,gaussian_noise_high,1.825968086719513,2.1001938819885253,2.4799038648605345,10
PEMS-BAY,SRAF-ID-v1-formal,linear_drift_high,1.797646939754486,2.075651931762695,2.435733962059021,10
PEMS-BAY,SRAF-ID-v1-formal,random_missing_20,1.5642908930778503,1.8991944313049316,2.336513566970825,10
PEMS-BAY,SRAF-ID-v1-formal,random_missing_40,1.6951606154441834,1.9886886954307557,2.3948514461517334,10
PEMS-BAY,SRAF-ID-v1-formal,stuck_at_last_value_high,1.5588226675987245,1.9008759617805482,2.3428990840911865,10
PEMS-BAY,SRAF-ID-v2-current-best,clean,1.4751808166503906,1.842858350276947,2.307528042793274,10
PEMS-BAY,SRAF-ID-v2-current-best,continuous_outage_24,1.8165942072868346,2.110273838043213,2.4748194932937624,10
PEMS-BAY,SRAF-ID-v2-current-best,gaussian_noise_high,1.8129600167274476,2.0951271295547484,2.480828285217285,10
PEMS-BAY,SRAF-ID-v2-current-best,linear_drift_high,1.7173336148262024,2.0129711985588075,2.390211248397827,10
PEMS-BAY,SRAF-ID-v2-current-best,random_missing_20,1.5194538474082946,1.8719501972198487,2.3257318496704102,10
PEMS-BAY,SRAF-ID-v2-current-best,random_missing_40,1.599668037891388,1.9288358092308044,2.3656111478805544,10
PEMS-BAY,SRAF-ID-v2-current-best,stuck_at_last_value_high,1.5513741493225097,1.896651291847229,2.3447154760360718,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,clean,1.4738485932350158,1.8434719562530517,2.3082506895065307,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,continuous_outage_24,1.8169028401374816,2.1124398708343506,2.47641236782074,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,gaussian_noise_high,1.8134507060050964,2.0963018417358397,2.480163645744324,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,linear_drift_high,1.7130087256431579,2.0100921392440796,2.389736270904541,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,random_missing_20,1.5179080247879029,1.8719518423080443,2.325917887687683,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,random_missing_40,1.5986618757247926,1.9288648962974548,2.3655770063400268,10
PEMS-BAY,SRAF-ID-v2-current-best-noGate,stuck_at_last_value_high,1.5504180192947388,1.897468662261963,2.3452449798583985,10
