dataset,model,seed,parameter_count,latency_mean_sec,training_time_sec,best_epoch
PEMS-BAY,PPCA-lite+ID-MLP,44,121644,1.2189207428590245,240.51501019999705,
PEMS-BAY,PPCA-lite+ID-MLP,45,121644,1.240727014285637,398.7718614000041,
PEMS-BAY,PPCA-lite+ID-MLP,46,121644,1.1645315571440733,234.97065799999837,
PEMS-BAY,PPCA-lite+ID-MLP,47,121644,1.2279706857152632,216.6697653999945,
PEMS-BAY,PPCA-lite+ID-MLP,48,121644,1.2365916571455142,228.28461990000505,
PEMS-BAY,PPCA-lite+ID-MLP,49,121644,1.285854228570575,200.70466490001127,
PEMS-BAY,PPCA-lite+ID-MLP,50,121644,1.243226828571226,153.44081110000843,
PEMS-BAY,PPCA-lite+ID-MLP,51,121644,0.95593689999909,440.89808510000876,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,42,121644,1.5486944714284618,261.54833260000305,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,43,121644,1.525404428571554,268.28152079999563,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,44,121644,1.4650018857137184,249.9465651999999,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,45,121644,1.3617530714275614,343.8170195999992,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,46,121644,1.5950871857140945,262.81957449999754,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,47,121644,1.4116131142842019,227.9309687000059,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,48,121644,1.6705416999985963,324.4234845000028,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,49,121644,1.7066179142815858,358.08788099999947,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,50,121644,1.7434137714278353,184.8460511000012,
PEMS-BAY,PyPOTS-SAITS+ID-MLP,51,121644,0.9609580714313779,250.52017409999098,
PEMS-BAY,SRAF-ID-v1-formal,42,121805,1.959064528570577,965.5363680999981,39
PEMS-BAY,SRAF-ID-v1-formal,43,121805,1.997229628572573,1024.622373600003,41
PEMS-BAY,SRAF-ID-v1-formal,44,121805,1.9102963285716084,1044.7194762,40
PEMS-BAY,SRAF-ID-v1-formal,45,121805,1.921846328571389,688.4729389000058,23
PEMS-BAY,SRAF-ID-v1-formal,46,121805,2.0423489142849576,803.5341086999979,38
PEMS-BAY,SRAF-ID-v1-formal,47,121805,1.917153085713965,869.2482279999967,34
PEMS-BAY,SRAF-ID-v1-formal,48,121805,1.9526840142851662,924.0535692000049,36
PEMS-BAY,SRAF-ID-v1-formal,49,121805,1.968655142858292,910.1714739000017,35
PEMS-BAY,SRAF-ID-v1-formal,50,121805,1.2052006285708299,768.3444317999965,28
PEMS-BAY,SRAF-ID-v1-formal,51,121805,1.2656979285675334,894.0764507999993,33
PEMS-BAY,SRAF-ID-v2-current-best,42,122606,2.9613675857139503,938.9909735000001,27
PEMS-BAY,SRAF-ID-v2-current-best,43,122606,2.999691928570558,739.4015118000025,20
PEMS-BAY,SRAF-ID-v2-current-best,44,122606,2.9324859714283127,909.2303585000045,25
PEMS-BAY,SRAF-ID-v2-current-best,45,122606,2.8613604285731395,975.437159999994,27
PEMS-BAY,SRAF-ID-v2-current-best,46,122606,2.975967671428017,809.3011340999947,23
PEMS-BAY,SRAF-ID-v2-current-best,47,122606,2.8173397428566074,782.5998223999995,21
PEMS-BAY,SRAF-ID-v2-current-best,48,122606,2.907734500001035,784.7686854999993,21
PEMS-BAY,SRAF-ID-v2-current-best,49,122606,2.9856890714269997,993.95617640001,29
PEMS-BAY,SRAF-ID-v2-current-best,50,122606,1.725913071431153,740.1286925000022,19
PEMS-BAY,SRAF-ID-v2-current-best,51,122606,1.735662657141802,1059.908463300002,33
PEMS-BAY,SRAF-ID-v2-current-best-noGate,42,122606,2.968502614285431,953.2156267999999,27
PEMS-BAY,SRAF-ID-v2-current-best-noGate,43,122606,3.073930814285372,649.9540075999976,16
PEMS-BAY,SRAF-ID-v2-current-best-noGate,44,122606,2.954024957142662,894.8409019000028,25
PEMS-BAY,SRAF-ID-v2-current-best-noGate,45,122606,2.765972085712877,720.4315247999984,18
PEMS-BAY,SRAF-ID-v2-current-best-noGate,46,122606,2.97536418571482,856.2451551999984,23
PEMS-BAY,SRAF-ID-v2-current-best-noGate,47,122606,2.836766514285825,651.1979074999981,16
PEMS-BAY,SRAF-ID-v2-current-best-noGate,48,122606,2.9665335714338914,765.5494345000043,20
PEMS-BAY,SRAF-ID-v2-current-best-noGate,49,122606,2.919129457143884,1003.6574798000074,29
PEMS-BAY,SRAF-ID-v2-current-best-noGate,50,122606,1.6420052000009622,748.5047917000047,19
PEMS-BAY,SRAF-ID-v2-current-best-noGate,51,122606,1.6752246571455285,1137.4517755999987,33
