dataset,variant,fault,mae_mean,mae_sample_sd,difference_vs_full,relative_difference_vs_full_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
metr_la,temporal_only_forecast_only,SV-high,4.824391508102417,0.02246051857645752,0.03379683494567942,0.7054830819867541,0.033796834945678714,0.03247661809162196,0.010564461911265116,0.05702920798009231,0.009365957145274812,0.01953125,2,8,1.0406513033571476
metr_la,spatial_only_forecast_only,RM20,5.283153867721557,0.07084569535796119,0.5740955829620358,12.191303403910899,0.5740955829620362,0.06524928371918155,0.5274190572438805,0.620772108680192,4.860231833746791e-10,0.001953125,0,10,8.798496324232712
metr_la,spatial_only_forecast_only,RM40,5.552570819854736,0.07837374868297256,0.7111734390258793,14.689425037531725,0.711173439025879,0.07474113135831878,0.6577068545486451,0.764640023503113,2.418538945599355e-10,0.001953125,0,10,9.515154856519636
metr_la,spatial_only_forecast_only,CO24,5.204880666732788,0.06910797119799425,0.3770786285400396,7.810565254270371,0.37707862854003904,0.06319351633351876,0.3318727102182864,0.4222845468617917,1.5159268663573707e-08,0.001953125,0,10,5.967046153119842
metr_la,spatial_only_forecast_only,GN-high,5.147397851943969,0.07361750078493932,0.3256233692169186,6.753185375703341,0.3256233692169189,0.06944132269602682,0.2759480394665787,0.37529869896725915,1.246527113428035e-07,0.001953125,0,10,4.6891873105917945
metr_la,spatial_only_forecast_only,LD-high,5.427971363067627,0.07240155546447068,0.5077224731445309,10.319040449038477,0.5077224731445313,0.06599452528858438,0.4605128337230868,0.5549321125659759,1.6032075088247022e-09,0.001953125,0,10,7.693402913716485
metr_la,spatial_only_forecast_only,SV-high,5.186003351211548,0.0727204605323366,0.3954086780548103,8.253853749523287,0.39540867805480956,0.055899648552596576,0.35542047842137653,0.4353968776882426,3.3764423979019543e-09,0.001953125,0,10,7.073544973771442
metr_la,fixed_fusion_forecast_only,RM20,4.78937463760376,0.03714443603417452,0.0803163528442381,1.7055714324916162,0.08031635284423828,0.043285313577808585,0.04935190484924713,0.11128080083922944,0.00023846370715682044,0.00390625,1,9,1.8555104770088737
metr_la,fixed_fusion_forecast_only,RM40,4.93532543182373,0.0410342342807859,0.09392805099487322,1.9401020739758519,0.09392805099487304,0.047564762187133666,0.059902269883454644,0.12795383210629144,0.000150588786137175,0.001953125,0,10,1.9747402630824193
metr_la,fixed_fusion_forecast_only,CO24,5.017310428619385,0.04208773533301292,0.18950839042663592,3.9253554501082437,0.18950839042663584,0.04476588579066219,0.1574848048743916,0.22153197597888008,3.017540575701502e-07,0.001953125,0,10,4.233321581367341
